"REF_DATE","GEO","DGUID","Sex","Age group","Disability","Labour force status","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Total population","Total labour force","Number","223","units ","0","v91873290","1.1.1.1.1","23187350","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Total population","Employed","Number","223","units ","0","v91873291","1.1.1.1.2","16373790","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Total population","Unemployed","Number","223","units ","0","v91873292","1.1.1.1.3","1318640","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Total population","Not in labour force","Number","223","units ","0","v91873293","1.1.1.1.4","5322150","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Total population","Participation rate","Percent","239","units ","0","v91873294","1.1.1.1.5","76.9","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Total population","Age standardized participation rate","Percent","239","units ","0","v91873295","1.1.1.1.6","76.9","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Total population","Employment Rate","Percent","239","units ","0","v91873296","1.1.1.1.7","71.1","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Total population","Age standardized employment rate","Percent","239","units ","0","v91873297","1.1.1.1.8","71.1","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Total population","Unemployment rate","Percent","239","units ","0","v91873298","1.1.1.1.9","7.5","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Total population","Age standardized unemployment rate","Percent","239","units ","0","v91873299","1.1.1.1.10","7.8","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons with disabilities","Total labour force","Number","223","units ","0","v91873300","1.1.1.2.1","2338240","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons with disabilities","Employed","Number","223","units ","0","v91873301","1.1.1.2.2","1026910","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons with disabilities","Unemployed","Number","223","units ","0","v91873302","1.1.1.2.3","137450","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons with disabilities","Not in labour force","Number","223","units ","0","v91873303","1.1.1.2.4","1007660","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons with disabilities","Participation rate","Percent","239","units ","0","v91873304","1.1.1.2.5","53.6","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons with disabilities","Age standardized participation rate","Percent","239","units ","0","v91873305","1.1.1.2.6","55.5","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons with disabilities","Employment Rate","Percent","239","units ","0","v91873306","1.1.1.2.7","47.3","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons with disabilities","Age standardized employment rate","Percent","239","units ","0","v91873307","1.1.1.2.8","47.7","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons with disabilities","Unemployment rate","Percent","239","units ","0","v91873308","1.1.1.2.9","11.8","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons with disabilities","Age standardized unemployment rate","Percent","239","units ","0","v91873309","1.1.1.2.10","14.3","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons without disabilities","Total labour force","Number","223","units ","0","v91873310","1.1.1.3.1","20849110","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons without disabilities","Employed","Number","223","units ","0","v91873311","1.1.1.3.2","15346890","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons without disabilities","Unemployed","Number","223","units ","0","v91873312","1.1.1.3.3","1181190","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons without disabilities","Not in labour force","Number","223","units ","0","v91873313","1.1.1.3.4","4314490","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons without disabilities","Participation rate","Percent","239","units ","0","v91873314","1.1.1.3.5","79.3","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons without disabilities","Age standardized participation rate","Percent","239","units ","0","v91873315","1.1.1.3.6","79.2","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons without disabilities","Employment Rate","Percent","239","units ","0","v91873316","1.1.1.3.7","73.6","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons without disabilities","Age standardized employment rate","Percent","239","units ","0","v91873317","1.1.1.3.8","73.6","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons without disabilities","Unemployment rate","Percent","239","units ","0","v91873318","1.1.1.3.9","7.1","","","","1"
"2012","Canada","2016A000011124","Both sexes","Total, 15 to 64 years","Persons without disabilities","Age standardized unemployment rate","Percent","239","units ","0","v91873319","1.1.1.3.10","7.5","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Total population","Total labour force","Number","223","units ","0","v91873320","1.1.2.1.1","4462850","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Total population","Employed","Number","223","units ","0","v91873321","1.1.2.1.2","2272930","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Total population","Unemployed","Number","223","units ","0","v91873322","1.1.2.1.3","420170","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Total population","Not in labour force","Number","223","units ","0","v91873323","1.1.2.1.4","1756790","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Total population","Participation rate","Percent","239","units ","0","v91873324","1.1.2.1.5","60.5","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Total population","Age standardized participation rate","Percent","239","units ","0","v91873325","1.1.2.1.6","60.5","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Total population","Employment Rate","Percent","239","units ","0","v91873326","1.1.2.1.7","51.1","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Total population","Age standardized employment rate","Percent","239","units ","0","v91873327","1.1.2.1.8","51.1","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Total population","Unemployment rate","Percent","239","units ","0","v91873328","1.1.2.1.9","15.6","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Total population","Age standardized unemployment rate","Percent","239","units ","0","v91873329","1.1.2.1.10","15.6","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons with disabilities","Total labour force","Number","223","units ","0","v91873330","1.1.2.2.1","195720","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons with disabilities","Employed","Number","223","units ","0","v91873331","1.1.2.2.2","59080","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons with disabilities","Unemployed","Number","223","units ","0","v91873332","1.1.2.2.3","20630","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons with disabilities","Not in labour force","Number","223","units ","0","v91873333","1.1.2.2.4","103700","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons with disabilities","Participation rate","Percent","239","units ","0","v91873334","1.1.2.2.5","43.5","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons with disabilities","Age standardized participation rate","Percent","239","units ","0","v91873335","1.1.2.2.6","43.5","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons with disabilities","Employment Rate","Percent","239","units ","0","v91873336","1.1.2.2.7","32.2","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons with disabilities","Age standardized employment rate","Percent","239","units ","0","v91873337","1.1.2.2.8","32.2","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons with disabilities","Unemployment rate","Percent","239","units ","0","v91873338","1.1.2.2.9","25.9","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons with disabilities","Age standardized unemployment rate","Percent","239","units ","0","v91873339","1.1.2.2.10","25.9","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons without disabilities","Total labour force","Number","223","units ","0","v91873340","1.1.2.3.1","4267130","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons without disabilities","Employed","Number","223","units ","0","v91873341","1.1.2.3.2","2213840","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons without disabilities","Unemployed","Number","223","units ","0","v91873342","1.1.2.3.3","399540","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons without disabilities","Not in labour force","Number","223","units ","0","v91873343","1.1.2.3.4","1653090","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons without disabilities","Participation rate","Percent","239","units ","0","v91873344","1.1.2.3.5","61.3","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons without disabilities","Age standardized participation rate","Percent","239","units ","0","v91873345","1.1.2.3.6","61.3","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons without disabilities","Employment Rate","Percent","239","units ","0","v91873346","1.1.2.3.7","51.9","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons without disabilities","Age standardized employment rate","Percent","239","units ","0","v91873347","1.1.2.3.8","51.9","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons without disabilities","Unemployment rate","Percent","239","units ","0","v91873348","1.1.2.3.9","15.3","","","","1"
"2012","Canada","2016A000011124","Both sexes","15 to 24 years","Persons without disabilities","Age standardized unemployment rate","Percent","239","units ","0","v91873349","1.1.2.3.10","15.3","","","","1"
"2012","Canada","2016A000011124","Both sexes","25 to 34 years","Total population","Total labour force","Number","223","units ","0","v91873350","1.1.3.1.1","4616190","","","","0"
"2012","Canada","2016A000011124","Both sexes","25 to 34 years","Total population","Employed","Number","223","units ","0","v91873351","1.1.3.1.2","3709700","","","","0"
"2012","Canada","2016A000011124","Both sexes","25 to 34 years","Total population","Unemployed","Number","223","units ","0","v91873352","1.1.3.1.3","248620","","","","0"
